,id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description
3212,3212,DIGITAL CONTENT COPYWRITER,Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Digital Marketing","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Jamsostek",5 days,501 - 1000 pekerja,Manufaktur/Produksi,"• Write clear, attractive copy with a distinct voice• Explore idea for brand plan, for each project• Interpret copywriting briefs to understand project requirements• Collaborate with designers and other division to explore idea for brand plan, for each project on large- and small-scale marketing projects (e.g. email campaigns, social media campaign/retainer and landing pages)• Edit and proofread copy as needed• Source images and other content• researching keywords, producing interesting written content and proofreading their work for accuracy and quality• As a Digital Copywriter it's your mission to create content that makes complex things simple and to give ordinary people the ability to make extraordinary things. This could include copy for advertising, branding campaigns, landing pages, emails and more.Requirement• Prefer have experience in FMCG company• Have more experience at least 1 year (fresh graduate welcome to apply)• Placement : Tangerang, Cipondoh• Willing to work hard and have good personality in work team"
3230,3230,MATH TEACHER FOR SECONDARY LEVEL,Banten,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2), Doktor (S3)",Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Lunch;Uniform",24 days,51 - 200 pekerja,Pendidikan,"Hey Everyone!Are you a teacher who is passionate about teaching Math-Related Subjects? Maybe you're the one we looking for!!Mutiara Harapan, known as the established Cambridge School, is looking for challenge-oriented candidates for the position of Math Teacher.As an Education Institution, we expect you to be highly flexible for any tasks and have knowledge of various Mathematic Teacher functions. We want to see a committed and approachable individual and be impressed with your character and skills.JOB DESCRIPTIONS:Teaching Math Subject for Secondary level (SMP & SMA)Making Lesson PlanMaking other administration documents that will support the teaching processRequirements:Possessing teacher certification is preferableMinimum education: Bachelor Degree of Education Major in MathPassionate in teaching Math SubjectFluent in English (Writing & Speaking)Have Good Skills in Classroom Management, Teaching Administration, Literacy, Teaching TechnologyExcellent communication skills, cheerful, confident, and resilient personality, discipline, and tight scheduleHave 1-year experience as Math Teacher in Cambridge CurriculumBenefit:BPJSTHRSnack and LunchTeam OutingOnly if you meet these requirements, ACTION now!"
3231,3231,Marketing Staff,Banten,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",27 days,51 - 200 pekerja,Makanan & Minuman/Katering/Restoran,"Job description: Coordinate and increase sales through online or offline channelsCoordinate all media for promotional purposes and increase salesCarry out an effective marketing strategy and be oriented towards achieving and increasing sales targetsBuild and maintain relationships with business partners, clients and vendorsDevelop products or services from the companyQualifications: - Candidate must possess at least Bachelor's Degree in any field.- At least 1 Year(s) of working experience in the related field is an advantage- Working experience in social media or digital marketing will be a plus- Required Skill(s): Good Communication Skill, Understand Microsoft Office- Preferably Staff (non-management & non-supervisor) specialized in Marketing/Business Development or equivalent.Self Starter - Able to prepare strategic planning and monthly and annual reports- Able to carry out promotional and branding programsHave good communication, negotiation and presentation skill- Willing to be placed in BSD, Tangerang"
3234,3234,Senior Supervisor Legal (Litigasi),Jakarta Barat,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Pengacara / Asisten Legal","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",24 days,201 - 500 pekerja,Periklanan/Marketing/Promosi/Hubungan Masyarakat,"Syarat :Usia maksimal 35 tahunPendidikan Sarjana HukumMemiliki pengalaman kerja minimal 5 tahun di posisi yang samaBerorientasi detail dan hasilPaham dengan pasar modalTerbiasa dengan pembuatan kontrakBekerja penuh waktu di Jakarta BaratDeskripsi Pekerjaan :Pengawasan kerja internal legalMewakili perusahaan di dalam atau luar pengadilanMemberikan advokasi saat terjadinya perkara litigasi di cabang, area maupun pusatMemberikan pengetahuan hukum litigasi kepada cabang, area dan pusat untuk terselenggaranya sistem kerja dan mekanisme organisasi perusahaan dengan baikSebagai trainer untuk Legal Aspect dibidang Litigasi di lingkungan perusahaanMenganalisa perkara hukum dan memberikan solusi berdasarkan peratura perundang-undanganMemberikan pendapat hukum terhadap kasus litigasi yang terjadi di perusahaan"
3238,3238,IT Project Manager,Bali,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",27 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"KUALIFIKASI:Maksimal 40 tahunS1/S2 Ilmu KomputerMempunyai kemampuan komunikasi yang baikMemiliki pengalaman pekerjaan minimal 3 tahun di pengemangan software/game dengan level staff atau supervisorMemiliki pengalaman 1 tahun di bidang IT Project ManagerFamiliar dengan penggunaan berbagai bahasa pemrograman dan/atau database toolsMemahami System Development Life Cycle, serta system analysis and designMemiliki kemampuan komunikasi dan leadership yang baikMemiliki pengalaman di bidang industri app development dan/atau game development akan menjadi nilai tambahMemiliki sertifikasi Project Management Profesional akan menjadi nilai tambahBisa berkomunikasi dengan bahasa englishBisa berdomisili dimana aja dengan catatan: Mempunyai konek internet yang cukup memadai untuk bekerja.Memiliki tempat bekerja yang memadaiDapat bergabung di bulan Februari 2022TUGAS DAN TANGGUNG JAWABMemimpin dan memotivasi tim untuk bekerja lebih baikMemastikan bahwa seluruh project berjalan sesuai dengan rencana (sesuai timeline, budget, dan ruang lingkup pekerjaan)Memastikan dan mengalokasikan sumber daya manusia (internal)Memantau perkembangan beberap project sekaligusIkut memantau dan terlibat dalam segala perubahan project (ruang lingkup, timeline, SDM)Mengukur keberhasilan project (berdasarkan tim dan hasil)Berkoordinasi dengan seluruh anggota tim untuk memastikan project selesai dengan baik.Menjaga hubungan baik dengan pimpinan perusahaan, investor dan semua stakeholderMembuat laporan dan dokumentasi project secara komprehensif"
3241,3241,Copywriter,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),5 tahun,Sarjana (S1),Penuh Waktu,"Seni/Media/Komunikasi,Periklanan","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",24 days,501 - 1000 pekerja,Retail/Merchandise,"Tugas dan Tanggung Jawab:Menulis naskah untuk materi iklan pada web banner, media sosial, media massa, katalog penjualan, video multimedia dan semua bentuk komunikasi pemasaran brand/produk serta event.Bersama Creative Production Coordinator dapat membuat sebuah konsep iklan atau materi promosi dan multimedia.Memberi ajuan naskah untuk judul/ headline, body copy dan typografi dalam proses perumusan konsep kreatif.Menerjemahkan naskah (Indonesia dan Inggris) berbagai bentuk materi komunikasi, promosi, multimedia yang disesuaikan masing masing target market.Memeriksa semua naskah pada artwork terkait teknik penulisan dan mandatories item.Kualifikasi:Pengalaman bekerja sebagai copywriter minimal 5 tahun.Pendidikan min. S1 jurusan Sastra & Bahasa, Komunikasi, Periklanan atau sejenisnya.Lebih diutamakan yang mengerti dan menguasai software desain, skill fotografi dan videografi.Memiliki sense of urgency dalam bekerja dan memenuhi deadline.Memiliki kemampuan komunikasi lisan dan tulisan yang baik.Memiliki pengalaman bekerja sama dengan tim."
3266,3266,QA/QC Mechanical/Piping/Tank,Karawang,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Company Uniform",27 days,Lebih dari 5000 pekerja,Manufaktur/Produksi,"Job Role:Prepare Quality plan, Inspection & test Plan for each Mechanical or Piping work activitiesCheck and monitor all Contractors Mechanical or Piping works to ensure those are as per the specifications, drawing and technical requirementsResponsible for overall quality of all Mechanical or Piping worksPrepare quality reports and quality status per contractorDaily site inspection such as – Alignment, NDT Inspection, Installation check, Piping fit up and welding inspection, Tank fabrication on site, etc.Requirements:Diploma or S1 Degree in Mechanical EngineeringMinimum 3 years of experience in QA/QC of Mechanical or Piping/ Tank worksGood Knowledge of Technical specification, codes and standards 4Good knowledge and experience in various Inspection and testing methods"
3267,3267,Business Marketing,Medan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Tip;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",29 days,1- 50 pekerja,Lainnya,"Profesi Business Development ini juga diperuntukkan bagi Anda yang mencari posisi: Business Marketing, Sales Manager,Mengerti marketing plan dan mengeksekusinya dengan sangat baikMelakukan penelitian untuk mengidentifikasi pasar baru dan kebutuhan clientMemimpin team dalam mencapai target untuk mendatangkan client baru untuk pemilik Bisnis dan ProfesionalMembangun dan menduplikasi bisnis sesuai dengan strategi, ekspektasi, dan standar perusahaanMelakukan identifikasi, analisa mengenai potential markets dan memberikan proposal kepada Direktur mengenai peluang bisnisMengembangkan business plans dengan potential partners"
3274,3274,Formulator Skincare/Kosmetik (R&D),Tangerang,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sains,Kimia","Tip;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",29 days,1- 50 pekerja,Perawatan/Kecantikan/Fitnes,"Kualifikasi :Usia maksimal 35 TahunPendidikan : Analis Kimia, Teknik Industry, Teknik Kimia, Farmasi / ApotekerPengalaman minimal 3 tahun sebagai formulator di industri kosmetik (Skincare, Haircare, Bodycare & Decorative)Memahami CPKB, Formulasi, Halal dan Stabilitas testTugas & Tanggung JawabMembuat Formula produk baru berdaasarkan permintaan konsumenMelakukan Analisa produk kosmetikMelakukan Trial produk develop dan dokumentasiFamiliar dengan formulasi, stabilitas produk, data keamanan bahan bakuMemiliki pemikiran analitis, solutif, inovatif dan kreatifMengerti trend pasar kosmetik terbaruMemahami dan mengikuti peraturan - peraturan BPOM yang berhubungan dengan produkMampu melakukan uji stabilitas dan kompatibilitas produk"
3290,3290,.Net Software Engineer (Middle - Senior),Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Tip;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Smart Casual",17 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"About Us:Infolog is a Singapore Software & Consultancy Company focuses in Warehouse Management System & Transport System as well Warehouse Automation Solution.Infolog is one of the leader in such software application and serving 100 over clients globally Beside Singapore, Infolog has offices in Jakarta & Bandung in Indonesia as well as Malaysia, Vietnam and Myanmar.Job Descriptions:Develop New application and also maintain/enhance existing applications using ASP.Net, C#Understand requirement from Business Analyst/Consultant and develop the system based on requirement Willing to work as a team and follow our development rulesProvide On-Site support when required and may need to travel to overseas such as Singapore, Malaysia, Thailand, Vietnam, Phillipine, Sri Lanka. Qualifications:Good logic & problem solving skill.Net , C# and SQL Query is a mustJunior to Mid position with minimum one year experience on using .Net Web Form technologyAble to work under tight date line and never say die attitudePassionate about programming and have coding standard. able to develop something that easy to maintainProficient using git versioning it will be advantagePreferred with the following but not a must:Can communicate well in English verbally and in writingUnderstand concept of MVC, N- Tier Architecture, SAAS dan Design PatternExperience in DevExpressUnderstand about Database Optimization and Locking MechanismWhy Join Us?Good Exposure to Supply Chain and Logistics IndustryExpose to project globally and not limit to local project onlyOpportunnity to travel to overseas for overseas projectMedical & Dental BenefitYearly Travel Allowance Good Salary Package for right candidateGood Exposure to the Robotic automation on Logistics Industry"
3309,3309,Business Analyst,Jakarta Pusat,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",15 days,1- 50 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"We are hiring a business analyst to join our project team. You will work alongside other business analysts and report directly to the project manager. Your main tasks will include performing detailed requirements analysis, documenting processes, and performing some user acceptance testing. To succeed in this role you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.Business Analyst Responsibilities:Evaluate business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Lead ongoing reviews of business processes and developing optimization strategies.Stay up-to-date on the latest process and IT advancements to automate and modernize systems.Conduct meetings and presentations to share ideas and findings.Perform requirements analysis.Document and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Work closely with clients, technicians, and managerial staff.Provide training, coaching, and guidance to junior staff.Allocate resources and maintain cost efficiency.Ensure solutions meet business needs and requirements.Perform user acceptance testing.Manage projects, developing project plans, and monitoring performance.Prioritize initiatives based on business needs and requirements.Serve as a relationship between stakeholders and users.Manage competing resources and priorities.Business Analyst Requirements:A bachelor’s degree in business or related field.A minimum of 3 years of experience in business analysis or a related field.Exceptional analytical and conceptual thinking skills.The ability to influence stakeholders and work closely with them to determine acceptable solutions.Advanced technical skills.Excellent documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports and giving presentations.Competency in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments.Excellent planning, organizational, and time management skills.Experience leading and developing top-performing teams.A history of leading and supporting successful projects."
3331,3331,Front-end Software Developer,Yogyakarta,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",25 days,1001 - 2000 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Job Description:Collaborate with cross-functional teams on software development planning and executionWork with group of frontend engineer to implement product compatibility across devicesIntegrate back-end system with the front-end interface.Adapt technical trends in mobile/web application to support product’s qualityResearch new technologies and tools related with front-end programmingDeeply engaged in the full agile development lifecycleRequirements:More than 2 years’ experience of relevant software development experienceHave deep knowledge and experience in front-end technologies of website and hybrid mobile apps development.Able to convert creative assets into fully functioning user interface.Able to interpret and convert creative design into well-organized layout and user-experience.Have deep knowledge about responsive design, including cross browser compatibility.Proficient in HTML, CSS, SASS, JavaScript, Dart, and jQueryHaving hands-on experience with one of ReactJS, VueJS, or other JavaScript framework.Self-learner, good team player, and able to use best-practice development processes effectively.Preferably possess bachelor’s degree in IT related major"
3339,3339,Regional People & Culture,Jakarta Timur,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR","Asuransi kesehatan;Bisnis (contoh: Kemeja);Communication Allowance, ALL BPJS;Monday-Saturday",27 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"Job Purpose:As a representative of the people & culture department at the regional level in charge of HR administration, compensation remuneration, industrial relations, recruitment, training, and implementation of people & culture policies, continuous improvement of the people & culture system is carried out in developing and fostering effective people competencies to meet the needs position competence and conduct needs analysis, placement and appreciation of employees in achieving challenges to the company's objectives.Job Requirement:Have minimum 5 Years Experience in Human ResourcesHave a good communication & can do attitudeMinimum Bachelor Degree in Any MajorHave a good english"
3341,3341,QHSE Site Tambang,Sulawesi Tengah,IDR,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Sains,Geologi/Geofisika","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Ketenagakerjaan, BPJS Kesehatan, Parkir, Bonus Tahunan",29 days,501 - 1000 pekerja,Pertambangan,"Persyaratan:·        Usia, maksimal 35 tahun·        Pendidikan minimal D3·        Pengalaman bekerja sebagai QHSE di bidang Inspeksi Tambang minimal 2 tahun.·        Terbiasa dengan JSA, HIRADC, Pembuatan Prosedur Safety.·        Memiliki sertifikat Ahli K3 Umum dan Ahli K3 Pertambangan·        Memiliki Sertifikat SMKP dan POP lebih diutamakan.·        Memahami UU Kesehatan dan Keselamatan Kerja di Pertambangan·        Bersedia ditempatkan diseluruh cabang ANINDYA·        Tegas, tanggungjawab, dapat diandalkanDeskripsi pekerjaan:·        Bertanggungjawab atas berlangsungnya kegiatan K3 di kantor/site agar berjalan dengan baik·        Memonitor dan evaluasi kegiatan terkait enviro·        Memahami resiko dan potensi bahaya yang terjadi di lingkungan kerja·        Bisa membuat dan memelihara dokumen terkait K3·        Mampu kerja sama dengan tim terkait"
3351,3351,UI UX Team Lead,Bali,IDR,Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Fun Outing (Quarterly)",9 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","We are Niagahoster, a tech company based in Yogyakarta that provides web-hosting services. To make an outstanding customer experience in all of our product touchpoints to achieve an optimum conversion rate, we are looking for a UI UX Team Leader. They will be responsible for leading the entire product design business process by working closely with various teams to deliver the best product with the best UX. Moreover, the Product Manager will collaborate cross-functionally with product management, engineering, user research and communication design to ensure a smooth product development process. If you are the one we've been looking for, join us now!Responsibility:Maintain ownership of the product vision and roadmap and improve the product development process. Lead the team in expanding mastery of the business goals of each design request and pushing back on stakeholders with innovative UX/UI proposals.Demonstrate high-quality design practices. This includes participation in all aspects of UX: research, ideation, strategy, interaction design, and visual design.Conceptualize original ideas that bring simplicity and user-friendliness to complex design roadblocks, work on a framework for judging the success or failure of the product, prioritize feature development, and structure product failures.Empower and mentor designers in the team, fostering a collaborative, productive, and positive environment within a growing team.Lead design strategy activities to understand user needs & business opportunities, uncover business/user needs, generate potential solutions, craft a holistic vision for the end-to-end product and develop roadmaps for achieving that future.Maintain and further build design team workflows that ensure that all designs delivered are in line with style guides and are of high-quality standards.Ensure that the projects are delivered in a timely manner.Highly communicative and responsive both within the team and to stakeholders across the company while managing a large volume of ongoing projectsLead the UI/UX design of the Niagahoster company.Lead the Designers' Guild and develop the best designers in the league. Integrate best design practices within the company.Develop company design roadmaps (new design hires to the agile teams, design tools integration, design system management).Be a design mentor for everyone who's interested in this field.Do experiment with MVP conceptJob requirements5+ years of industry experience as a UI/UX designer and/or manager in a cross-functional UI/UX team, dedicated to the complete UI/UX design and development lifecycle of several successfully launched desktop and mobile applications.Deep understanding of the website platforms and experience designing and launching products for both.Proven success designing and optimizing high-quality product experiences for a variety of platforms including desktop, web, and mobile.Mastery of UX interaction and design principles and deliverables including rapid prototyping, concept diagrams, user scenarios, wireframes, flows, experience maps, design patterns, and annotated comps.Architect system-wide design solutions that satisfy both product and engineering requirements.Experience managing a team of around 10-15 UI/UX team members. Ability to communicate with different departments of a multi-national and dynamic companyDrive and willingness to go the extra mile with a strong work ethic.Experience in other types of designs (online ads, print, etc.) will be an advantage.Deep understanding of Business Success Metric and how to implement it in UI/UX teamKnowledge of Lean Startup MethodologyWorking Advantages:Have flexible work hours.Enjoy working remotely (stay anywhere in Indonesia).Be a part of inspiring working culture.Enjoy being surrounded by a team that respects and cares for each other.Access to reference books, training courses, and international conferences to support your professional development.Benefit from other motivational perks such as birthday prizes, a special gift for the best team member, and much more!Leave your mark within an international working environment to scale up your professional journey and discover the best version of yourself. Step Up Your Game and be a PRO!"
3361,3361,Fullstack Magento Developer,Bali,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2), Doktor (S3)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Tip;Pinjaman;Parkir;Bisnis (contoh: Kemeja);Jam 8:30-17:00,4 days,51 - 200 pekerja,Hukum/Legal,"Note: This job is not at IndoNed. You will be working for a Dutch company called U Digital (U B.V.) in Indonesia. U Digital is responsible for the selection process. Therefore, please don’t send or direct your application to IndoNed.*****Why work for us?Good salary and working conditions (depending on experience).Work together with a team of online professionals.Employment and working as a freelancer is possible.U DigitalU Digital is a Dutch web agency that has a strong focus on conversion. We build websites and related software and campaigns for a selected group of clients. For more information have a look at u-digital.nl.In the next two years we want to expand our team in Indonesia to twenty persons and you can be part of that growth. We are looking for individuals who are interested in giving our clients the best possible quality and help design their websites and applications. All our Indonesian employees are working remotely from home.We have a highly experienced team with online marketeers and project managers in The Netherlands. You will be working close together in a professional and open culture.Requirements: You have at least 2 years experience with programming in Magento.You have excellent understanding in Magento workflow and configurations.You have excellent Magento templating skill.You have experience with PHP, MySQL and HTML.Proficient understanding of code versioning tools, such as Git.Proficient understanding of server-side CSS per-processing platforms, such as LESS and SASS.You have knowledge of working on NGINX and Apache server.Excellent communication skills in both English and Indonesian language.Be able to work remotely, a good internet connections is required;Able to work in a team as well as individually.Work on Dutch time.Responsibilities: Based on the functional and technical design, you write daily consistent and reusable code. You work with Magento, PHP and MySQL.You develop webshops in Magento.You program in PHP and Javascript.You test webshops.You will maintain and further develop existing shops.Interested?If you wish to apply for this vacancy, please apply in English with your resume and motivation and we will get in touch soon. A test could be part of the selection process."
3401,3401,Senior Infosec Engineer,Jakarta Selatan,IDR,Supervisor/Koordinator,4 tahun,"SMA, SMU/SMK/STM, Sarjana (S1)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;BPJS KT, BPJS Kes, Private Health Insurance*, THR, Events, Tournaments & Parties;Business casual",28 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","ResponsibilitiesOwn the planning and execution of activities in JULO’s Information Security roadmap.Improve JULO’s management of data, especially customer PII.Perform technical analysis and evaluation of applications, infrastructure, tools and business processes in various product development projects throughout SDLC at JULO.Lead the analysis, evaluation, implementation, and improvement of security controls both in technical solutions and effective processes when operating applications, cloud and network infrastructures, and tools.Perform internal audits on the access and security of application platforms, cloud and network infrastructures, and tools. Maintain and improve incident response plan and lead the forensics, correction, and mitigation upon any security incident or breach.Provide technical guidance, training, and mentoring to JULOvers working with information.Keep up with current security vulnerabilities, threats, controls, and technologies and apply them if necessary.RequirementsPractical problem solver, highly analytical, great team player, have excellent work ethic, and have strong security ethics.Can communicate clearly, timely, and professionally:With technical and non-technical users,With leadership roles and individual contributorsIn English and Indonesian.Expert in multi-tasking, both in planning, executing, and managing projects thoroughly in issue tracking tools.Experience in creating, maintaining, and improving organization wide infosec management.Hands-on experience with automated VAPT tools.Highly skilled in analyzing security vulnerabilities in application and system architecture.Highly skilled in troubleshooting, reviewing, modifying, testing, and securing software code.Highly skilled in troubleshooting and securing Linux-based OS and Windows.Highly skilled in managing, troubleshooting, securing these technologiesAPI gateways like KongMobile, backend, and web based application frameworksMessage brokers Monitoring and provisioning tools SQL databases and data platform toolsCloud computing infrastructureNetwork appliances3 plus years of experience as a Security Engineer with some leadership experience.Having completed CISSP, OSCP, CEH, or similar certifications.2-5 years of industry experience as DevOps Engineer, Data Engineer, and IT Specialist or preferably a combination of those 3 roles."
3470,3470,Accounting & Tax Staff,Banten,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Kontrak,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",26 days,201 - 500 pekerja,Manajemen/Konsulting HR,"1. Usia maksimal 27 tahun2. Minimal pendidikan S1 jurusan akuntansi, keuangan3. Berpengalaman diposisi yang sama minimal 1 tahun4. Memiliki sertifikat brevet AB sebagai nilai tambah5. Mengerti tentang membuat neraca keuangan dan perpajakan (pph badan, pph 21, dll)6. Mahir dalam menggunakan microsoft office terutama microsoft excel7. Penempatan lokasi kerja : Bintaro (Tangerang Selatan)8. Benefit : Gaji pokok mulai dari UMK Kota tangsel 2022, BPJS Kesehatan, BPJS Ketenagakerjaan"
3486,3486,PURCHASING BAHASA MANDARIN,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material","Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Kesehatan",21 days,1- 50 pekerja,Retail/Merchandise,Requirements :Waniita / Usia maksimal 35 tahunMAMPU BERBAHASA MANDARINPendidikan minimal S1Mampu mengoperasikan computer (Ms Word & Office)Menyukai NegosiasiTeliti & cekatanResponsibilities :Melakukan pemesanan jam tangan ke supplier Cina melalui media wchat dan teleponMemesan box jam tangan ke supplierMenginput dan mendata pembelianMengajukan pembayaran ke financeMenjalin hubungan baik dengan supplierMemantau masa pemesanan/ produksi memenuhi ketepatan masa produksiMenghitung dan mendata hutang piutang dengan supplier
3492,3492,General Affairs - Makassar,Makassar,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR","Tunjangan Pendidikan;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",20 days,201 - 500 pekerja,Retail/Merchandise,"About SuperWe are a group of business enthusiasts, scientists, communicators, designers, productive mothers and many more who are unified and unduly spirited to work towards one big vision and goal. As a leading social commerce platform in Indonesia, we aim to solve economic inequality distribution across rural areas by building agent networks and hyperlocal supply chains to make goods more affordable. Aplikasi Super goes beyond the passion and creativity to decipher social issues among our surroundings.Job Description:Recording cash management transactions on the reportPerforming and archiving General Affairs dataCarrying out stock taking and controlling of office supplies with stock dataDoing document fillingPreparing weekly and monthly reports dataSubmitting funds related to office operationsRequirements:Minimum education Bachelor's degree (any field)Having experienced in the same fieldThorough, Diligent, and Neat at workMastering Microsoft Office and Google Sheet ProgramPlacement in Makassar"
